,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,content_age,is_movie,watch_category
4171,ts89330,Stay Tuned!,SHOW,['comedy'],2019,TV-14,1970-01-01 00:00:00.000000046,['comedy'],['JP'],1.0,tt10088086,7.5,343.0,2.928,9.0,7,0,Good
4172,tm827168,Sturgill Simpson Presents Sound & Fury,MOVIE,['animation'],2019,0,1970-01-01 00:00:00.000000040,['animation'],"['JP', 'US']",0.0,tt10682000,0.0,0.0,3.557,6.3,7,1,Low Rated
4173,tm838869,Wonder Boy,MOVIE,"['documentation', 'european']",2019,0,1970-01-01 00:00:00.000000099,"['documentation', 'european']",['FR'],0.0,0,0.0,0.0,3.206,6.8,7,1,Low Rated
4174,ts91125,Chief of Staff,SHOW,['war'],2019,0,1970-01-01 00:00:00.000000062,['war'],['KR'],2.0,0,0.0,0.0,7.903,8.5,7,0,Low Rated
4175,tm812781,Katherine Ryan: Glitter Room,MOVIE,['comedy'],2019,0,1970-01-01 00:00:00.000000065,['comedy'],['US'],0.0,tt10438648,6.7,1920.0,2.752,6.7,7,1,Average
4176,tm884616,Quiet,MOVIE,['drama'],2020,0,1970-01-01 00:00:00.000000102,['drama'],['CL'],0.0,tt10035478,6.4,320.0,1.379,7.2,6,1,Average
4177,tm945168,Secrets of the Saqqara Tomb,MOVIE,"['documentation', 'history']",2020,0,1970-01-01 00:00:00.000000113,"['documentation', 'history']","['EG', 'US']",0.0,tt13150630,7.2,6189.0,19.701,7.4,6,1,Good
4178,tm933639,Wish Upon a Unicorn,MOVIE,"['fantasy', 'family']",2020,PG,1970-01-01 00:00:00.000000093,"['fantasy', 'family']",['US'],0.0,tt10798660,5.4,176.0,28.467,7.1,6,1,Low Rated
4179,tm847805,Ludo,MOVIE,"['crime', 'action', 'comedy', 'drama']",2020,PG-13,1970-01-01 00:00:00.000000150,"['crime', 'action', 'comedy', 'drama']",['IN'],0.0,tt7212754,7.6,37528.0,8.817,7.4,6,1,Good
4180,tm938227,Dolly Parton's Christmas on the Square,MOVIE,"['comedy', 'family']",2020,PG,1970-01-01 00:00:00.000000098,"['comedy', 'family']",['US'],0.0,tt10627548,5.2,2675.0,5.099,5.9,6,1,Low Rated
4181,tm910999,Xico's Journey,MOVIE,"['family', 'fantasy', 'animation']",2020,0,1970-01-01 00:00:00.000000085,"['family', 'fantasy', 'animation']",['MX'],0.0,tt12481806,5.1,534.0,66.177,6.6,6,1,Low Rated
4182,tm980097,Holiday on Mars,MOVIE,"['comedy', 'scifi']",2020,0,1970-01-01 00:00:00.000000089,"['comedy', 'scifi']",['IT'],0.0,tt12780384,2.7,564.0,7.9,3.3,6,1,Low Rated
4183,tm475501,Wanda Sykes: Not Normal,MOVIE,['comedy'],2019,0,1970-01-01 00:00:00.000000066,['comedy'],['US'],0.0,tt9169592,7.2,1790.0,3.413,6.9,7,1,Good
